id,song_name,artist_name,explicit
5svL1PkWw8hPEAOdTNLexy,Paralyzed,Sueco,False
3DICBZOMaEWbCxwUfPGcE5,Everywhereigo,Babyxsosa,True
6FUYkl8t6gKFT59NpQWuhr,Mix It,MoneyMarr,True
44xO8889yUQHn70P73NILS,Believe Me,Navos,False
5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),WizKid,False
1v6svH1Fyx9C1nIt1mA2DT,All I Want,Olivia Rodrigo,False
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI,True
1v3Ozpbcx2B926aVW0UuXk,A-O-K,Tai Verdes,True
17lzuZ03enjlAQ8RHBx3aN,Ocean Prime (feat. Coi Leray),Coi Leray,True
0LThjFY2iTtNdd4wviwVV2,Permission to Dance,BTS,False
4wzUmBC4ZrF92IE1hPCTJp,The Hustle - Original Mix,Van McCoy,False
7sq2z9oX2S0CvgTqCZ0ko4,Strange,Celeste,False
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,True
0KVkS8KCIuC06BxJhI9Glr,What's Da Jwett,Jojo,True
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Doja Cat,True
0Fs9cdPDhptWEDJmiCbkEW,She Knows (feat. Amber Coffman & Cults),J. Cole,True
2lDODk7inZnmUHbIjUnIwP,Running Away,VANO 3000,False
2CVChktEKBsM6v4IfdFU5k,double take,dhruv,False
7uWdDOhI3wydISWM1AXN0M,My Potna Dem,$ilkMoney,True
5gbszghyfBJXqS9YxJmoQo,The Magic Bomb (Questions I Get Asked) - Extended Mix,Hoàng Read,False
7DNp5wliOrg01iwvUnL3Tn,I'm A Survivor,Reba McEntire,False
3Q872ol7VFg088SkbxSuqO,Psycho (feat. Rubi Rose),Dixie,True
4lGOHDJr4PvUguwpMxjzlu,FVN!,LVL1,False
5InOp6q2vvx0fShv3bzFLZ,Know Yourself,Drake,True
4RlEfpp0p8TzRwseTUA4fp,Opportunity,Quvenzhané Wallis,False
08hB2ERJV6A1Ntu3OHgzjh,FMRN,Lilyisthatyou,True
1iAWDVZem3Vx3Pb8fTUTEL,Rick & Morty,Soulja Boy,True
5zNW5ARjYhJQJz1AChP33n,Thot Shit,Megan Thee Stallion,True
3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,False
6yuraIBlY8JGTVSwt2QSoB,Addicted,Gucci Mane,True
0cu0rhnlCnJ7JIeHRiLpj3,Ball If I Want To,DaBaby,True
3ZozFqJJlDBNIm4xqxn2ZD,Fancy Like,Walker Hayes,False
3KdoeNlEN0BoAKWzaRLNZa,Solar Power,Lorde,False
6T3sH1EuBMijU1MHe2WFJt,in heat.,Hentai Xander,False
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Avril Lavigne,False
6bTn1ovliI0OkjUNkiMBJq,Nobody,Mitski,False
6PQ88X9TkUIAUIZJHW2upE,Bad Habits,Ed Sheeran,False
7GLqR9ToJLb0PV3XyNAWNm,MMM MMM (feat. ATL Jacob),Kali,True
3ggtU1ZOKO8ZNiqPNyXGcm,Dinero,Trinidad Cardona,True
5fO4ybFbomoSWPB3n2d6pe,Hell Shell,Young Nudy,True
1GLcGInllpE4JUTStzaCOM,My X,Rae Sremmurd,True
1Oi2zpmL81Q0yScF1zxaC0,"Bills, Bills, Bills",Destiny's Child,False
51Grh1RyUDcMBbpuyUIUHI,rises the moon,Liana Flores,False
5fSZXFOZfPVW9gvnnG4ZVW,Punk Monk,Playboi Carti,True
2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rodrigo,True
4eOymg22XI5PrPr7BkPQiW,Into The Thick Of It!,The Backyardigans,False
0QsZ3W21xNvnUnUMbiAY4z,spy?,WHOKILLEDXIX,True
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,Pitbull,True
2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,True
2wA7vCrfQb4IJnSMj9fHtZ,Touch Down 2 Cause Hell,Hd4president,True
2wpnNoSCY3FvQ0vk6R2ouR,Secret Agent,The Backyardigans,False
52KEmudjXXMXbAJgoumeO5,One Mo Chance (with Lil Durk),Only The Family,True
1QL7nSDZCwZMnbisV4KOXt,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,True
3tHm0NnzLiQsaMUkJNcAij,Hello Baby feat. Fivio Foreign,Young M.A,True
3VqeTFIvhxu3DIe4eZVzGq,Butter,BTS,False
4fSIb4hdOQ151TILNsSEaF,Todo De Ti,Rauw Alejandro,True
6PERP62TejQjgHu81OHxgM,good 4 u,Olivia Rodrigo,True
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Bella Poarch,True
3QqYZWQLn0evKMIRlGJeeR,Bundles (feat. Taylor Girlz),Kayla Nicole,True
22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,Calvin Harris,False
3ScW1jntobO4OfLub6I0sj,Did It On’em,Nicki Minaj,True
66vs64VphiHrtFcLR6Qeav,Talkin' Bout (feat. Saweetie),Loui,True
6kHgOJ7806DXwtZrfEO2qS,Yay Yay,Compton Ro2co,True
6uDBSDI9pDM7C4Gm0hc2hI,Castaways,The Backyardigans,False
755inykyaG4w22GWAsA3MX,Marlboro Nights,Lonely God,False
6uvMKqNlrSvcC4NaKnrwjZ,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,True
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),Doja Cat,True
2L95U6syP0bV3fkYYOzmiW,La Mamá de la Mamá,El Alfa,True
3nY8AqaMNNHHLYV4380ol0,Dick (feat. Doja Cat),StarBoi3,True
5yorXJWdBan1Vlh116ZtQ7,WHOLE LOTTA MONEY,BIA,True
1AXJqw8lCf3chqvgq4U8mA,FUCKBOY,Dixie,True
3xxmjMvJsSR3L7mUOxP9QA,Never Forget You,Noisettes,False
3A0ITFj6kbb9CggwtPe55f,Venom,Little Simz,True
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Masked Wolf,True
106R0orU4XC4tFbugFfRzT,Seventeen,Ladytron,False
61KpQadow081I2AsbeLcsb,deja vu,Olivia Rodrigo,True
3BZEcbdtXQSo7OrvKRJ6mb,MONTERO (Call Me By Your Name),Lil Nas X,True
4VNZchycAjVwCqZfSWVEID,Send Me on My Way,Vibe Street,True
4wFjTWCunQFKtukqrNijEt,MotorSport,Migos,True
6G7GA38doygTg3KK9HrgTT,Bongo Cha Cha Cha,Caterina Valente,False
5LE8xsgXORBCV70UKd7ywp,Impatient (feat. Coi Leray),DDG,True
2cX2coZS1PYBfPs8wgbdWE,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Bee Gees,False
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,True
52FpkyImUt9LDI9mCWDryr,Whatta Man (feat. En Vogue) - EP Version,Salt-N-Pepa,False
2BKyXCkxhZRGwREqZacJ9M,She Make It Clap,Soulja Boy,True
3bMNprrp2JDKZsGbiXpsJl,My Chick Bad,Ludacris,True
6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,Mike Posner,False
4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,Vanessa Carlton,False
3qGHAKgjQruzj6doKkyEb5,Unlock it (Lock It) - feat. Kim Petras and Jay Park,Charli XCX,True
1VpKOZ6nnap41hh5CbY8gJ,Obsessed,Addison Rae,False
5FEXPoPnzueFJQCPRIrC3c,Day 'N' Nite (nightmare),Kid Cudi,False
3FxPbp05KjMBa4HbhAJTH0,SugarCrash!,ElyOtto,True
2mykLbf6YfpFmZwUWowZv3,Caution,KAYTRANADA,False
5hChuUMe5iHfjkXgzj1D4b,Track Star,Mooski,True
3hv6ndi7uFT9L9wrhQCsqY,Gucci Flip Flops (feat. Lil Yachty),Bhad Bhabie,True
5XMhppJhtgjkd2SYDklhR9,For Me,CHASE B,True
0osvOdeD3YXZiWkT8MKolJ,Lifestyle (feat. Adam Levine),Jason Derulo,True
1xMvdOFQaql3EBkHmuh2TK,Batman,LPB Poody,True
1XXimziG1uhM0eDNCZCrUl,Up,Cardi B,True
6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis,False
7vRia9rlEuTDQxkfXIKySi,It's Not The Same Anymore,Rex Orange County,False
4NOZ35Dhucr6UlVyLOtktd,Dangerous,Kardinal Offishall,True
1uH1Nd8vet2uoZSDFSDwbh,Up Down (Do This All Day) (feat. B.o.B),T-Pain,True
5Kskr9LcNYa0tpt5f0ZEJx,Calling My Phone,Lil Tjay,True
65kp3OFn7JXbCvkm3m2Ui2,Two®,Lil Uzi Vert,True
6u3CPnFMKANYgfdiifFOiJ,"Gravity (feat. Tyler, The Creator)",Brent Faiyaz,True
1yLTcitjbEJr7a4jyDB0Lz,So Pretty,Reyanna Maria,True
0zMAvsQmaQ4DGsmXtKixpn,Burning Pile,Mother Mother,False
4pBhTGnL5N5KqsyqU58jee,I'm not Pretty,JESSIA,True
7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,True
70Znjq5VPKFrwlB7O26SWT,Zanzibar,Billy Joel,False
77loZpT5Y5PRP1S451P9Yz,The Reason,Hoobastank,False
3iw6V4LH7yPj1ESORX9RIN,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,False
7KDqNm3Vo6isNP1rfiEVZx,21st Century Vampire,Huddy,True
5jkFvD4UJrmdoezzT1FRoP,Rasputin,Boney M.,False
7BQ1LYgw8XGhnUFY851OVg,Best Ever (feat. Ayo & Teo),Polo Frost,True
6NWdgyVsjp2bJ11PToXCr1,Buss It,Erica Banks,True
3PXi72ZtSqx1PZc40KS0Qj,Mean,$NOT,True
5VlTQnZO89Ioku8ssdbqJk,Dead Man Walking,Brent Faiyaz,True
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),Saweetie,True
6DaqBwun59rgzYEQROTbRv,Triple S,YN Jay,True
4E7ZbuJH3NddjnMWLstkRq,I Am (feat. Flo Milli),Baby Tate,True
4aarlAfLKVCTxUDNgbwhjH,Cry Baby (feat. DaBaby),Megan Thee Stallion,True
7L6G0wpIUiPXuvoo7qhb06,oops!,Yung Gravy,True
7FngYjFnEU6fRYWTZbwoq9,PLASTIC,Unghetto Mathieu,True
0oHEteATZnAZuA9dl1dXF3,Sensitive,Dreamer Isioma,True
1ko2lVN0vKGUl9zrU0qSlT,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",False
2rpVmxAGGc18wpBREaoE0R,Jenny,Studio Killers,False
0A1hoCfMLkiAgvhWkkucJa,Body,Megan Thee Stallion,True
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,The Kid LAROI,True
54bFM56PmE4YLRnqpW6Tha,Therefore I Am,Billie Eilish,False
3aAmQOxRPeKDL0HMWFA5qn,Adderall (Corvette Corvette),Popp Hunna,True
35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,True
6jBCehpNMkwFVF3dz4nLIW,It's Tricky,Run–D.M.C.,False
3CNqo3gYrfexdrtjFmC9he,Where Is The Love?,Black Eyed Peas,False
5lNsNowjCKqgafSWE7Ie2Z,Drip Like ME,Kenndog,True
4MAADpR6MjelkaZqe3Mgnv,Elastic,Joey Purp,True
3DmW6y7wTEYHJZlLo1r6XJ,Shower,Becky G,False
3x5VSETP4fRjK2MoZfyVlE,Coming of Age,Blondes,False
2E5NGLtMqDmeijWcntP8Ca,ICE (feat. MORGENSHTERN),MORGENSHTERN,True
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),DaBaby,True
0YYNIGKgAk34vZkV2NySie,THICK,DJ Chose,True
7HbnX1fxCAoPa7nRVFSEFW,Said Sum (feat. City Girls & DaBaby) - Remix,Moneybagg Yo,True
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,True
7CCCX50zGHMTuHsyKQy03l,Dancing in My Room,347aidan,False
0bhciG1J5Mn3aIfPjvHQIe,Photo ID,Remi Wolf,True
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,False
3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,True
7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,salem ilese,False
62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),Surf Mesa,False
6fMzgFFGzWCwiHMzDzNpp5,Lets Link,WhoHeem,True
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),Cardi B,True
6hLZzCS4E7AWo3PRBWy6az,Whole Lotta Choppas,Sada Baby,True
0QpOqKz66ZxHNqj2PPHiFF,Backyard Boy,Claire Rosinkranz,False
0ecC8p17cDNlxHXkuYqeR6,Surrender,Natalie Taylor,False
6otiaV2fagE3s8IvP6WkwG,I'm Just a Kid,Simple Plan,False
6vFsBXYczYsP0H3lgunZOm,Cloud 9,Beach Bunny,False
11ZulcYY4lowvcQm4oe3VJ,Slumber Party (feat. Princess Nokia),Ashnikko,True
2xXNLutYAOELYVObYb1C1S,As the World Caves In,Sarah Cothran,False
